Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of Incident,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Organisation Affected,Programme Focus,Aid Workers Killed,Aid Workers Injured,Aid Workers Kidnapped,Aid Workers Arrested,Known Kidnapping or Arrest Outcome,Aid Workers Killed in Captivity,International Aid Workers Killed,International Aid Workers Killed in Captivity,National Aid Workers Killed,National Aid Workers Killed in Captivity,Female Aid Workers Killed,Female Aid Workers Killed in Captivity,Male Aid Workers Killed,Male Aid Workers Killed in Captivity,International Aid Workers Injured,National Aid Workers Injured,Female Aid Workers Injured,Male Aid Workers Injured,International Aid Workers Kidnapped,National Aid Workers Kidnapped,Female Aid Workers Kidnapped,Male Aid Workers Kidnapped,International Aid Workers Arrested,National Aid Workers Arrested,Female Aid Workers Arrested,Male Aid Workers Arrested,SiND Event ID
2023-02-22,February 2023: A national NGO driver was shot and killed by armed men.  ,Somalia,SOM,Bari,11.2,49.1,(2) 25 km Precision ,Road,NSA,Unidentified armed actor,Firearms,NGO,No information,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38094
2023-02-21,February 2023: A national aid worker was killed and five other national aid workers went missing after an attack by unidentified perpetrators on an INGO-contracted boat transporting humanitarian supplies. ,South Sudan,SSD,Central Equatoria,5.0,31.6,(2) 25 km Precision ,Ship/Water,Criminal,Criminal,Firearms,LNGO,Multiple,1,0,5,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,38649
2023-02-19,"February 2023: In November 2022, two South African volunteer aid workers and a US pilot working for the organization, delivering aid were arrested under allegations of supporting terrorism. In 19 February 2023, all three were denied bail by a Mozambican court.",Mozambique,MOZ,Inhambane Province,-23.8,35.4,(2) 25 km Precision ,Airstrip,Police,Mozambique Republic Police,Firearms,INGO,Multiple,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,37752
2023-02-14,February 2023: An aid worker was injured when a WFP warehouse was hit by airstrikes.,Ukraine,UKR,Kherson Oblast,46.5,33.4,(2) 25 km Precision ,Warehouse,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Plane,"LNGO, UN Agency",Hunger,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37791
2023-02-14,"February 2023: A male doctor and a female community health worker working for an NGO health centre were kidnapped by armed bandits. In response, the institution announced the suspension of its activities. They were later released without paying ransom.",Haiti,HTI,West,18.5,-72.3,"(3) District, Communicipality or Commune ",No information,NSA,Unidentified armed actor,Firearms,NGO,Health,0,0,2,0,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,37839
2023-02-13,February 2023: A community health worker from an INGO-supported health facility was assaulted and injured over a dispute regarding the expiration date of a Covid-19 vaccine . ,South Sudan,SSD,Jonglei,9.0,31.4,(2) 25 km Precision ,Health Building,Camp Resident,Beneficiaries,Unarmed Perpetrator,INGO,Health,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40872
2023-02-13,February 2023: A national NGO driver was injured when his ambulance was shot at least 16 times while returning from the medical facility. ,Myanmar,MMR,Mandalay,21.9,96.0,"(3) District, Communicipality or Commune ",Road,NSA,Unidentified armed actor,Firearms,LNGO,Health,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,40746
2023-02-12,February 2023: Four INGO aid workers (two national and two international) were wounded during an unspecified threat.,Timor-Leste,TLS,No Information,-8.8,125.8,(6) Country,No information,No Information,Unidentified armed actor,Firearms,INGO,No information,0,4,0,0,,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,44285
2023-02-11,"February 2023: An INGO driver went to visit a woman he met at the bazar at her private address. When he arrived at the woman's house, police were there to arrest him. The driver spent 2 days in custody at the police station. When the driver returned at work the day after, he resigned from his position. ",Afghanistan,AFG,Jowzjan Province,36.7,66.3,(2) 25 km Precision ,Home,Police,Afghan National Police,Firearms,INGO,Economic,0,0,0,1,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,45134
2023-02-11,February 2023: A Red Cross staff member was killed by a stray bullet while at a medical facility amid fighting between Somaliland troops and local forces. The medical facility was also hit by shells. ,Somalia,SOM,Sool,8.4,47.3,(2) 25 km Precision ,Health Building,Multiple,Unidentified armed actor,"Firearms, Shelling",Red Cross (Nat Soc),Health,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37744
2023-02-11,February 2023: A national INGO male health worker was injured during an assault by unidentified men on the way to medical facility. Another female national health worker was also assaulted but did not suffer injuries. ,South Sudan,SSD,Greater Pibor Administrative Area,6.1,34.3,(2) 25 km Precision ,Road,No Information,Unidentified armed actor,Unarmed Perpetrator,INGO,Health,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,38086
2023-02-10,February 2023: An aid collection station for the Turkish earthquake was attacked and an unspecified number of aid workers temporarily detained by security forces. ,Iraq,IRQ,Iraqi Kurdistan Region,36.8,42.9,"(3) District, Communicipality or Commune ",Project site,Police,Iraqi Security Forces,Firearms,NGO,Multiple,0,0,0,5,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,37802
2023-02-09,February 2023: An INGO aid worker was staff attacked and robbed by a group of four gang members while he was walking to bus station. ,Ethiopia,ETH,Oromia Region,7.2,38.9,(2) 25 km Precision ,Road,Criminal,Criminal,Unarmed Perpetrator,INGO,No information,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,45606
2023-02-09,"February 2023: A female community health worker was kidnapped by armed individuals. In response, the centre's staff suspended work.",Haiti,HTI,West,18.5,-72.3,"(3) District, Communicipality or Commune ",No information,NSA,Unidentified armed actor,Firearms,NGO,Health,0,0,1,0,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,37838
2023-02-08,"February 2023: A driver and a logistics supervisor were both killed by armed men during an ambush of a health INGO vehicle with four staff onboard. Following the attack, the INGO suspended activities in the region.",Burkina Faso,BFA,Boucle du Mouhoun,12.9,-3.1,(5) Linear Feature e.g. Along Road/River ,Road,NSA,Unidentified armed actor,Firearms,INGO,Health,2,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37270
2023-02-08,February 2023: An INGO aid worker was assaulted on the road during a robbery.,Ethiopia,ETH,No Information,10.0,38.8,(6) Country,Road,Criminal,Criminal,No Information on the Weapon Used,INGO,No information,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45316
2023-02-05,February 2023: An INGO aid worker was physically assaulted by IEA members.,Afghanistan,AFG,Kabul Province,34.5,69.1,"(3) District, Communicipality or Commune ",Compound or Office Building,Police,Islamic Emirate of Afghanistan,No Information on the Weapon Used,INGO,Other,0,1,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,45311
2023-02-05,February 2023: Two LNGO aid workers were detained by Islamic Emirate of Afghanistan (IEA) forces.,Afghanistan,AFG,Nangarhar Province,34.0,70.4,(2) 25 km Precision ,No information,Host Government: Military,Islamic Emirate of Afghanistan,No Information on the Weapon Used,LNGO,No information,0,0,0,2,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,38709
2023-02-04,February 2023: Two INGO aid workers (one national and one international) were injured during a burglary.,Uganda,UGA,No Information,1.9,32.3,(6) Country,Home,Criminal,Criminal,Firearms,INGO,No information,0,2,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,44324
2023-02-04,February 2023: Two INGO aid workers were injured during a theft.,South Sudan,SSD,No Information,8.1,29.7,(6) Country,No information,Criminal,Criminal,Firearms,INGO,No information,0,2,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,44286
2023-02-04,"February 2023: An off-duty male driver for a health INGO was injured, and later died, during the ambush of a public bus by extremist rebels.",Mozambique,MOZ,Cabo Delgado Province,-12.5,40.0,(5) Linear Feature e.g. Along Road/River ,Road,No Information,Unidentified armed actor,Firearms,INGO,Health,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37236
2023-02-02,February 2023: Two Norwegian INGO health workers were injured in Russian shelling. Their vehicle was reportedly directly hit.,Ukraine,UKR,Donetsk Oblast,48.5,37.9,(2) 25 km Precision ,Open Space,Foreign Forces: Military,Armed Forces of the Russian Federation,Unspecified Explosive,INGO,Health,0,2,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,37032
2023-02-02,"February 2023: Four health Red Cross volunteers working on covid-19 vaccination and Ebola awareness were picked from their houses by  suspected armed Dinka Bor, and killed alongside other community members.",South Sudan,SSD,Central Equatoria,3.8,31.6,(2) 25 km Precision ,Home,NSA,Dinka,Firearms,Red Cross (Nat Soc),Health,4,0,0,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37133
2023-02-02,February 2023: An NGO paramedic was killed in an explosion as he was helping evacuate civilians. ,Ukraine,UKR,Donetsk Oblast,48.5,38.0,(2) 25 km Precision ,Project site,Foreign Forces: Military,Armed Forces of the Russian Federation,Missile,NGO,Health,1,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37031
2023-02-01,February 2023: A security guard at an NGO-supported health centre was killed by three men using bladed weapons after he refused them entry into the facility.,South Sudan,SSD,Central Equatoria,4.3,31.0,"(3) District, Communicipality or Commune ",Health Building,NSA,Unidentified armed actor,Knife,NGO,Health,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40871
2023-01-31,"January 2023: An NGO nurse was arrested by Mai Mai Malaika on accusations of embezzling social reintegration kits from an NGO. She paid sum of 150,000 FC for her release.	
",DRC,COD,Maniema,-4.6,27.6,"(3) District, Communicipality or Commune ",No information,NSA,Mai Mai militia,Firearms,NGO,Health,0,0,0,1,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,41042
2023-01-29,January 2023: Two INGO aid workers (one national and one international) were injured during a burglary.,Nigeria,NGA,No Information,10.0,8.0,(6) Country,Home,Criminal,Criminal,Firearms,INGO,Multiple,0,2,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,44325
2023-01-27,"January 2023: A LNGO peacebuilding aid worker was killed and another staff member injured by unidentified perpetrators when his vehicle came under fire at a checkpoint. 
",Sudan,SDN,Blue Nile State,11.5,33.8,"(4) Province, State, Governorate ",Checkpoint,No Information,Unidentified armed actor,Firearms,UN Agency,Peacebuilding,1,1,0,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37429
2023-01-27,January 2023: Two volunteer aid workers from a health LNGO were arrested by the Myanmar military.,Myanmar,MMR,Tanintharyi Region,14.5,98.0,(2) 25 km Precision ,No information,Host Government: Military,Myanmar Armed Forces,Firearms,LNGO,Health,0,0,0,2,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,37155
