SiND Event ID,Date,Country,Country ISO,Admin 1,Latitude,Longitude,Event Description,Reported Perpetrator,Reported Perpetrator Name,Aid Workers Killed,Aid Workers Injured,Aid Workers Kidnapped,Aid Workers Arrested,Sector Affected,Launch Type,Type of SV,Survivor Or Victim Sex,Adult or Minor ,dataset
43246,2023-09-02T00:00:00.000Z,Syria,SYR,Aleppo Governorate,36.1,37.3,"September 2023: Near an unnamed IDP camp, all-Dweira village, Aleppo governorate, unidentified perpetrators fired a shell that exploded, injuring a man, a woman, and their child, whilst causing panic amongst inhabitants.",No Information,Unidentified Armed Actor,0.0,0.0,0.0,0.0,['Protection'],['Ground-Launched'],,,,['weapons']
43248,2023-12-20T00:00:00.000Z,OPT,PSE,Gaza Strip,,,20 December 2023: Israeli shelling hit a residential building inside a refugee camp.,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Ground-Launched'],,,,['weapons']
43249,2023-12-01T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"01 December 2023: In Jabalia Refugee Camp, a residential building was destroyed when it was hit by an Israeli airstrike. ",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43250,2023-12-01T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"01 December 2023: In Jabalia Refugee Camp, a house was hit by an Israeli airstrike. ",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43251,2023-12-01T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"01 December 2023: In Jabalia Refugee Camp, massive destruction was reported following an Israeli bombing. ",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43253,2023-12-08T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"08 December 2023: Israeli airstrike hit school, killing six Palestinians. ",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
43255,2023-12-08T00:00:00.000Z,OPT,PSE,Gaza Strip,,,08 December 2023: Israeli airstrike hit a school housing displaced people. ,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
43260,2023-12-10T00:00:00.000Z,OPT,PSE,Gaza Strip,,,10 December 2023: Israeli airstrikes hit school housing displaced people. ,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
43265,2023-12-27T00:00:00.000Z,OPT,PSE,Gaza Strip,,,27 December 2023: Israeli forces reportedly hit a UN health centre causing a fire in the premises. ,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Unspecified Launch Method'],,,,['weapons']
43266,2023-09-23T00:00:00.000Z,Syria,SYR,Idlib Governorate,35.9,36.7," September 2023: In an unnamed IDP camp on the outskirts of Sarmin, Idlib governorate, Syrian regime fighters shelled the camp, killing a woman and an elderly man and injuring a child and man and causing material damage",Other,Syrian Armed Forces,0.0,0.0,0.0,0.0,['Protection'],['Ground-Launched'],,,,['weapons']
43267,2024-01-03T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"03 January 2024: In Al-Maghazi Refugee Camp, the vicinity of a health clinic was hit by Israeli airstrikes and fire belts on the camp.",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,"['Health Care', 'Protection', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
43271,2023-12-27T00:00:00.000Z,Ukraine,UKR,Donetsk Oblast,47.9,37.2,"27 December 2023: A medical facility, two apartment buildings and a private house were damaged in the missile attack by the Russian forces. 
",Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Health Care'],['Unspecified Launch Method'],,,,['weapons']
43272,2024-01-02T00:00:00.000Z,Ukraine,UKR,Donetsk Oblast,48.1,37.7,02 January 2024: A medical facility was destroyed by Russian artillery. ,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Health Care'],['Ground-Launched'],,,,['weapons']
43274,2024-01-09T00:00:00.000Z,Ukraine,UKR,Kherson Oblast,46.6,32.6,09 January 2024: A medical facility was damaged by Russian shells.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Health Care'],['Ground-Launched'],,,,['weapons']
